지역,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
서울,발생건수,2,3,10,5,5,2,5,4,5,8,1,4,54
서울,환자수,11,95,466,55,291,54,68,172,770,109,2,49,2142
부산,발생건수,0,1,1,3,2,1,3,2,3,1,2,0,19
부산,환자수,0,3,18,52,26,68,193,224,34,10,9,0,637
대구,발생건수,0,2,0,1,0,2,2,0,2,1,0,0,10
대구,환자수,0,4,0,3,0,157,69,0,10,2,0,0,245
인천,발생건수,4,1,1,1,2,3,4,3,4,3,3,3,32
인천,환자수,15,6,3,2,5,43,67,32,105,26,18,12,334
광주,발생건수,0,0,1,1,0,0,0,1,0,0,2,0,5
광주,환자수,0,0,2,4,0,0,0,12,0,0,25,0,43
대전,발생건수,0,0,0,0,0,0,1,0,0,0,0,0,1
대전,환자수,0,0,0,0,0,0,4,0,0,0,0,0,4
울산,발생건수,0,0,1,1,1,1,0,0,0,2,0,0,6
울산,환자수,0,0,6,7,5,2,0,0,0,82,0,0,102
세종,발생건수,0,1,0,0,2,0,0,0,0,0,0,0,3
세종,환자수,0,5,0,0,179,0,0,0,0,0,0,0,184
경기,발생건수,5,4,6,5,5,5,6,8,18,9,4,2,77
경기,환자수,45,37,109,113,166,97,61,616,3185,84,16,22,4551
강원,발생건수,0,1,1,0,2,1,1,4,1,1,0,0,12
강원,환자수,0,6,4,0,32,5,75,114,69,3,0,0,308
충북,발생건수,2,0,1,0,2,4,2,1,1,2,2,0,17
충북,환자수,6,0,6,0,19,81,7,7,11,25,28,0,190
충남,발생건수,0,0,0,1,0,1,0,2,0,0,1,0,5
충남,환자수,0,0,0,11,0,18,0,207,0,0,26,0,262
전북,발생건수,0,0,3,1,2,0,3,2,3,3,3,0,20
전북,환자수,0,0,36,18,17,0,17,5,75,15,25,0,208
전남,발생건수,1,1,2,0,3,2,4,5,5,4,1,2,30
전남,환자수,10,15,9,0,44,15,15,77,85,38,2,12,322
경북,발생건수,0,0,5,1,1,4,3,4,7,1,1,1,28
경북,환자수,0,0,73,19,19,161,11,70,699,5,14,21,1092
경남,발생건수,1,1,5,2,2,2,1,0,3,8,1,3,29
경남,환자수,2,23,84,115,35,31,43,0,26,96,6,26,487
제주,발생건수,1,0,0,2,1,0,0,0,3,1,2,0,10
제주,환자수,33,0,0,39,4,0,0,0,31,111,14,0,232
불명,발생건수,1,0,0,1,1,0,0,0,1,1,0,0,5
불명,환자수,3,0,0,6,11,0,0,0,139,2,0,0,161
합계,발생건수,17,15,37,25,31,28,35,36,56,45,23,15,363
합계,환자수,125,194,816,444,853,732,630,1536,5239,608,185,142,11504
